,number,value,datetime_start,datetime_complete,duration,params_lr,params_scheduler_gamma,params_weight_decay,state
124,124,0.6021505376344086,2021-02-06 22:20:00.180347,2021-02-06 22:20:16.081280,0 days 00:00:15.900933,0.021097274614079654,0.9371589174219956,0.22647137469889403,COMPLETE
125,125,0.554531490015361,2021-02-06 22:20:16.081697,2021-02-06 22:20:27.102598,0 days 00:00:11.020901,0.012391301189775172,0.9487941998871396,0.2040402730059026,COMPLETE
126,126,0.5416282642089094,2021-02-06 22:20:27.103030,2021-02-06 22:20:43.268674,0 days 00:00:16.165644,0.0038796154134230565,0.9392120993004698,0.0596529443807827,COMPLETE
127,127,0.5400921658986175,2021-02-06 22:20:43.269099,2021-02-06 22:21:04.301009,0 days 00:00:21.031910,0.015014353465799898,0.9320399764006302,0.40851308003829057,COMPLETE
128,128,0.5124423963133641,2021-02-06 22:21:04.301433,2021-02-06 22:21:15.128556,0 days 00:00:10.827123,0.009097315012299231,0.9407262669796126,0.17307817058643346,COMPLETE
129,129,0.5241167434715822,2021-02-06 22:21:15.128977,2021-02-06 22:21:35.907452,0 days 00:00:20.778475,0.0052778461276803065,0.9467989482416054,0.3695269177489505,COMPLETE
130,130,0.6129032258064516,2021-02-06 22:21:35.907873,2021-02-06 22:21:51.708141,0 days 00:00:15.800268,0.01919113878947384,0.9445420884244244,0.24204607371350031,COMPLETE
131,131,0.6168970814132104,2021-02-06 22:21:51.708557,2021-02-06 22:22:12.337359,0 days 00:00:20.628802,0.01897915011772575,0.944235672551276,0.2382026725563863,COMPLETE
132,132,0.5612903225806452,2021-02-06 22:22:12.337779,2021-02-06 22:22:23.203024,0 days 00:00:10.865245,0.011348906481986339,0.9440353736513947,0.29033686393257824,COMPLETE
133,133,0.5551459293394777,2021-02-06 22:22:23.203445,2021-02-06 22:22:33.949367,0 days 00:00:10.745922,0.019179061484836557,0.9508852363130054,0.2373735986712807,COMPLETE
134,134,0.5996927803379416,2021-02-06 22:22:33.949799,2021-02-06 22:22:44.840528,0 days 00:00:10.890729,0.03098953193132173,0.9453326747016711,0.18473784789006956,COMPLETE
135,135,0.5827956989247312,2021-02-06 22:22:44.840944,2021-02-06 22:22:55.871957,0 days 00:00:11.031013,0.016526082990101068,0.9482612514881991,0.26002651680749567,COMPLETE
136,136,0.6070660522273426,2021-02-06 22:22:55.872382,2021-02-06 22:23:06.582372,0 days 00:00:10.709990,0.013291109841718461,0.9419403265816478,0.22293389833467311,COMPLETE
137,137,0.6067588325652842,2021-02-06 22:23:06.582809,2021-02-06 22:23:27.532197,0 days 00:00:20.949388,0.013937613402788051,0.9532309139807266,0.20754885293330888,COMPLETE
138,138,0.46912442396313364,2021-02-06 22:23:27.532633,2021-02-06 22:23:43.133318,0 days 00:00:15.600685,0.013413113263272424,0.9467457659761526,0.20398232907515498,COMPLETE
139,139,0.5339477726574501,2021-02-06 22:23:43.133762,2021-02-06 22:23:53.944684,0 days 00:00:10.810922,0.019644804156992313,0.9530275866356293,0.1952968132657465,COMPLETE
140,140,0.5582181259600615,2021-02-06 22:23:53.945107,2021-02-06 22:24:14.617128,0 days 00:00:20.672021,0.007504775666696226,0.9387029239967474,0.1505122816165355,COMPLETE
141,141,0.402457757296467,2021-02-06 22:24:14.617552,2021-02-06 22:24:30.061627,0 days 00:00:15.444075,0.015265688694440756,0.9493910712266191,0.2150353774567038,COMPLETE
142,142,0.5434715821812596,2021-02-06 22:24:30.062046,2021-02-06 22:24:45.801606,0 days 00:00:15.739560,0.025822477123489167,0.9546199654617298,0.2741607658893945,COMPLETE
143,143,0.5794162826420891,2021-02-06 22:24:45.802045,2021-02-06 22:24:57.076285,0 days 00:00:11.274240,0.009257896433187932,0.9436054693487615,0.24076095677027473,COMPLETE
144,144,0.4162826420890937,2021-02-06 22:24:57.076715,2021-02-06 22:25:07.671571,0 days 00:00:10.594856,0.0017091814668739574,0.9505012135778205,0.17052460357904395,COMPLETE
145,145,0.5763440860215053,2021-02-06 22:25:07.671999,2021-02-06 22:25:28.771008,0 days 00:00:21.099009,0.013290300139933526,0.9451147268762208,0.31977229396652296,COMPLETE
146,146,0.5926267281105991,2021-02-06 22:25:28.771428,2021-02-06 22:25:39.442425,0 days 00:00:10.670997,0.039354948567608884,0.9572001916907843,0.21449702603517817,COMPLETE
147,147,0.6086021505376344,2021-02-06 22:25:39.442870,2021-02-06 22:26:00.004119,0 days 00:00:20.561249,0.021237712051953336,0.9600812540207169,0.26345538413565645,COMPLETE
148,148,0.5714285714285714,2021-02-06 22:26:00.004554,2021-02-06 22:26:15.989714,0 days 00:00:15.985160,0.021947461138810964,0.9410609259199119,0.1872497888777498,COMPLETE
