,number,value,datetime_start,datetime_complete,duration,params_lr,params_nl2,params_num_ct,params_scheduler_gamma,params_sigma2,params_weight_decay,state
117,117,0.5474654377880185,2021-02-08 21:10:27.386575,2021-02-08 21:10:48.837460,0 days 00:00:21.450885,0.018770080058579594,7,6,0.9523815423395321,14,0.4130135931475541,COMPLETE
118,118,0.38740399385560675,2021-02-08 21:10:48.837955,2021-02-08 21:10:59.468905,0 days 00:00:10.630950,0.0013159273968243155,7,2,0.9745889310228685,18,0.08288455262795313,COMPLETE
119,119,,2021-02-08 21:10:59.469389,2021-02-08 21:11:00.131756,0 days 00:00:00.662367,3.959208016605241e-05,9,0,0.912927307252416,16,0.02016321208087972,FAIL
120,120,,2021-02-08 21:11:00.132155,2021-02-08 21:11:00.771927,0 days 00:00:00.639772,1.598154351065317e-05,9,0,0.9618686435114746,16,0.022504979375454724,FAIL
121,121,,2021-02-08 21:11:00.772321,2021-02-08 21:11:01.415697,0 days 00:00:00.643376,2.7750447705005817e-05,9,0,0.9613607012830727,16,0.021950413180006262,FAIL
122,122,,2021-02-08 21:11:01.416092,2021-02-08 21:11:02.054224,0 days 00:00:00.638132,3.3504179747944776e-05,9,0,0.9120607306796977,16,0.018817091687410813,FAIL
123,123,,2021-02-08 21:11:02.054634,2021-02-08 21:11:02.807778,0 days 00:00:00.753144,1.8289915688530457e-05,9,0,0.9627104519609766,16,0.023259011746214846,FAIL
124,124,,2021-02-08 21:11:02.808400,2021-02-08 21:11:03.467718,0 days 00:00:00.659318,4.362469613069549e-05,9,0,0.9589696678093098,16,0.022417415428171106,FAIL
125,125,,2021-02-08 21:11:03.468139,2021-02-08 21:11:04.101951,0 days 00:00:00.633812,1.1289382968263587e-05,9,0,0.9617097345322324,16,0.022358555944263662,FAIL
126,126,,2021-02-08 21:11:04.102351,2021-02-08 21:11:04.728863,0 days 00:00:00.626512,1.231187768268703e-05,9,0,0.9892381006368028,16,0.022702959043535444,FAIL
127,127,,2021-02-08 21:11:04.729251,2021-02-08 21:11:05.375281,0 days 00:00:00.646030,1.787577751934936e-05,9,0,0.9616229392148073,16,0.024229538215980975,FAIL
128,128,,2021-02-08 21:11:05.375677,2021-02-08 21:11:06.008321,0 days 00:00:00.632644,3.0830696742964716e-05,9,0,0.959295087198968,16,0.022012892040955623,FAIL
129,129,,2021-02-08 21:11:06.008914,2021-02-08 21:11:06.654506,0 days 00:00:00.645592,3.247398236503597e-05,9,0,0.9894520528653944,16,0.022130498959368302,FAIL
130,130,,2021-02-08 21:11:06.655127,2021-02-08 21:11:07.289009,0 days 00:00:00.633882,1.0356493067576606e-05,9,0,0.9613372488462104,16,0.02100165631321008,FAIL
131,131,,2021-02-08 21:11:07.289418,2021-02-08 21:11:08.050270,0 days 00:00:00.760852,2.8998920113678492e-05,9,0,0.9893101537216052,16,0.021628866912592633,FAIL
132,132,,2021-02-08 21:11:08.050687,2021-02-08 21:11:08.706411,0 days 00:00:00.655724,2.970829469318679e-05,9,0,0.9890798029164413,16,0.019877512068977324,FAIL
133,133,,2021-02-08 21:11:08.706821,2021-02-08 21:11:09.342330,0 days 00:00:00.635509,2.7348459321225484e-05,9,0,0.9895997808752628,16,0.021207008068662707,FAIL
134,134,,2021-02-08 21:11:09.342754,2021-02-08 21:11:09.994844,0 days 00:00:00.652090,1.3393155510760116e-05,9,0,0.9142613546578783,16,0.01992831806625241,FAIL
135,135,,2021-02-08 21:11:09.995244,2021-02-08 21:11:10.641671,0 days 00:00:00.646427,1.6043169226232483e-05,9,0,0.9624838542229802,16,0.0218786202853392,FAIL
136,136,,2021-02-08 21:11:10.642064,2021-02-08 21:11:11.276681,0 days 00:00:00.634617,4.8498236009534224e-05,9,0,0.9896399439811818,16,0.027312437711114725,FAIL
137,137,,2021-02-08 21:11:11.277080,2021-02-08 21:11:11.912257,0 days 00:00:00.635177,3.7765689702204116e-05,9,0,0.9899249678555396,16,0.02099774600863964,FAIL
138,138,,2021-02-08 21:11:11.912653,2021-02-08 21:11:12.660483,0 days 00:00:00.747830,1.1351600980540906e-05,9,0,0.9897131609372295,16,0.02100783330087547,FAIL
139,139,,2021-02-08 21:11:12.661092,2021-02-08 21:11:13.353837,0 days 00:00:00.692745,1.0423319394077751e-05,9,0,0.9057365793367851,16,0.023024829609969665,FAIL
140,140,,2021-02-08 21:11:13.354448,2021-02-08 21:11:14.009146,0 days 00:00:00.654698,1.204601213947544e-05,9,0,0.9889646184592094,16,0.027191286568353606,FAIL
141,141,,2021-02-08 21:11:14.009767,2021-02-08 21:11:14.662849,0 days 00:00:00.653082,3.655156755839723e-05,9,0,0.9592670278091401,16,0.021029199356522806,FAIL
142,142,,2021-02-08 21:11:14.663260,2021-02-08 21:11:15.305153,0 days 00:00:00.641893,2.420925659756442e-05,9,0,0.9608687752808949,16,0.019721899839207274,FAIL
143,143,,2021-02-08 21:11:15.305743,2021-02-08 21:11:16.001736,0 days 00:00:00.695993,3.362767262691494e-05,9,0,0.9894457859536183,16,0.029677675110034784,FAIL
