,number,value,datetime_start,datetime_complete,duration,params_lr,params_out_dim,params_scheduler_gamma,params_weight_decay,system_attrs_completed_rung_0,state
1558,1558,0.7049543998028099,2021-02-22 05:42:35.722117,2021-02-22 05:42:47.020769,0 days 00:00:11.298652,0.0003520802139154079,80,0.9959728220846934,5.799153680758386,0.7049543998028099,PRUNED
1559,1559,0.728645150241223,2021-02-22 05:42:47.021554,2021-02-22 05:44:12.345785,0 days 00:01:25.324231,0.0002772167526687027,80,0.9953991311008406,5.852982745395427,0.7204831156026621,COMPLETE
1560,1560,0.7254223397968168,2021-02-22 05:44:12.347028,2021-02-22 05:45:37.555893,0 days 00:01:25.208865,0.00023113240879519414,80,0.9951013763916069,6.376099683045041,0.7071727877742174,COMPLETE
1561,1561,0.706186837564703,2021-02-22 05:45:37.557168,2021-02-22 05:45:48.725742,0 days 00:00:11.168574,0.00032610392939641064,80,0.9957421955993505,5.476418627400742,0.706186837564703,PRUNED
1562,1562,0.7044614246980527,2021-02-22 05:45:48.726460,2021-02-22 05:46:00.116792,0 days 00:00:11.390332,0.0002629909419997597,80,0.9953214235369426,6.116969030813537,0.7044614246980527,PRUNED
1563,1563,0.6975597732314518,2021-02-22 05:46:00.117515,2021-02-22 05:46:11.429566,0 days 00:00:11.312051,0.000305961536674446,80,0.9956817585709022,5.569624008227805,0.6975597732314518,PRUNED
1564,1564,0.7044614246980527,2021-02-22 05:46:11.430338,2021-02-22 05:46:22.636503,0 days 00:00:11.206165,0.00037171118508469474,80,0.9955378980854535,6.554010437247236,0.7044614246980527,PRUNED
1565,1565,0.7047079122504314,2021-02-22 05:46:22.637261,2021-02-22 05:46:34.042923,0 days 00:00:11.405662,0.0001949865736922825,80,0.9950461425492999,5.175252364911081,0.7047079122504314,PRUNED
1566,1566,0.703721962040917,2021-02-22 05:46:34.043733,2021-02-22 05:46:45.261279,0 days 00:00:11.217546,0.00025306908809259363,80,0.995416710876246,5.82188138512743,0.703721962040917,PRUNED
1567,1567,0.7069263002218388,2021-02-22 05:46:45.262086,2021-02-22 05:46:56.516082,0 days 00:00:11.253996,0.00034524017511487965,80,0.9952975283505624,6.127322231239305,0.7069263002218388,PRUNED
1568,1568,0.6958343603648016,2021-02-22 05:46:56.516848,2021-02-22 05:47:07.852292,0 days 00:00:11.335444,0.0003138053799945796,80,0.9950615797129667,5.269984388445901,0.6958343603648016,PRUNED
1569,1569,0.6987922109933449,2021-02-22 05:47:07.853074,2021-02-22 05:47:19.029334,0 days 00:00:11.176260,0.00010318554737723616,80,0.9954310815839692,5.709989457948616,0.6987922109933449,PRUNED
1570,1570,0.7069263002218388,2021-02-22 05:47:19.030092,2021-02-22 05:47:30.399438,0 days 00:00:11.369346,0.000228350484371907,80,0.9949440792223712,6.587463435114754,0.7069263002218388,PRUNED
1571,1571,0.7032289869361598,2021-02-22 05:47:30.400217,2021-02-22 05:47:41.750160,0 days 00:00:11.349943,0.0003707532329642107,80,0.9947795829965389,5.346414032079047,0.7032289869361598,PRUNED
1572,1572,0.7248414498940116,2021-02-22 05:47:41.750946,2021-02-22 05:49:07.348226,0 days 00:01:25.597280,0.00017148300296856254,80,0.9947763876804734,4.916869775387767,0.7101306384027607,COMPLETE
1573,1573,0.7271065147205578,2021-02-22 05:49:07.349466,2021-02-22 05:50:32.794923,0 days 00:01:25.445457,0.00028107715636204405,80,0.9961628350470566,6.230610127564558,0.7086517130884891,COMPLETE
1574,1574,0.695587872812423,2021-02-22 05:50:32.796124,2021-02-22 05:50:44.141816,0 days 00:00:11.345692,0.0001311710988550066,90,0.9955688273740195,6.793443771299169,0.695587872812423,PRUNED
1575,1575,0.7042149371456742,2021-02-22 05:50:44.142611,2021-02-22 05:50:55.419828,0 days 00:00:11.277217,0.0003837882401009018,80,0.996102155481891,6.091935563016351,0.7042149371456742,PRUNED
1576,1576,0.6916440719743653,2021-02-22 05:50:55.420640,2021-02-22 05:51:06.802373,0 days 00:00:11.381733,0.00029031128843353305,80,0.9958888729620117,4.722293543208665,0.6916440719743653,PRUNED
1577,1577,0.695587872812423,2021-02-22 05:51:06.803220,2021-02-22 05:51:18.168017,0 days 00:00:11.364797,0.00023625889730658232,80,0.9956923379527373,5.599587969474047,0.695587872812423,PRUNED
1578,1578,0.7331004776623402,2021-02-22 05:51:18.168824,2021-02-22 05:52:43.453866,0 days 00:01:25.285042,0.00019313056212654091,70,0.9946061971522518,6.3876599108557635,0.713088489031304,COMPLETE
